Name,Pos,Played,Started,MOTM,Goals,Assists,Shots,Shot_Comp,Pass,Pass_Comp,Key_Pass,Dribble,Dribble_Comp,Tackle,Tackle_Comp,Possession_Won,Possession_Lost,Distance,Rating
A. Broja,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5.9
J. Félix,NA,1,1,0,1,1,2,1,6,5,1,5,5,0,0,0,2,9.1,7.4
R. Sterling,NA,1,0,0,0,0,1,0,3,3,0,4,4,0,0,0,1,4.2,5.8
M. Mount,NA,1,1,0,0,1,1,1,7,7,2,8,8,0,0,0,0,8.4,6.7
N. Jackson,NA,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2.7,6
K. Havertz,NA,1,1,0,1,0,1,1,20,16,2,18,18,0,0,0,3,8.9,7.2
C. Gallagher,NA,1,0,0,0,0,0,0,2,2,0,3,2,0,0,0,1,4.4,6
W. Zaïre-Emery,NA,1,1,0,1,0,1,1,11,9,0,10,10,0,0,0,2,8,6.7
D. Zakaria,NA,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,3.1,5.8
D. Rice,NA,1,1,0,0,0,0,0,8,8,0,8,8,2,2,3,0,9.6,7.1
Cucurella,NA,1,1,1,0,1,0,0,9,8,1,6,6,0,0,0,0,12.9,7.5
J. Gvardiol,NA,1,1,0,0,0,0,0,6,5,0,4,4,0,0,0,1,11.3,5.9
A. Christensen,NA,1,1,0,0,0,0,0,10,10,0,6,6,0,0,3,0,10.5,6.7
W. Fofana,NA,1,1,0,0,0,0,0,7,7,0,8,7,1,1,3,1,11,6.5
M. Gusto,NA,1,0,0,0,0,0,0,3,1,0,2,2,0,0,0,2,2.7,5.7
R. James,NA,1,1,0,0,0,0,0,11,10,0,11,11,0,0,2,1,10,7.2
É. Mendy,NA,1,1,0,0,0,0,0,5,5,0,1,1,0,0,3,0,5,6.9
