"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"J. Félix",NA,1,1,0,2,1,3,2,7,7,1,8,7,0,0,0,1,8.7,8.1
"M. Mount",NA,1,1,0,0,1,0,0,11,8,2,10,10,0,0,0,3,9,6.5
"K. Havertz",NA,1,1,0,0,2,1,0,18,16,2,17,16,0,0,0,4,11.2,6.9
"E. Fernández",NA,1,1,0,1,0,1,1,9,9,0,7,7,1,0,0,0,8.6,7.5
"D. Rice",NA,1,1,0,0,0,0,0,19,18,0,12,12,1,0,1,1,11.5,6.8
"B. Chilwell",NA,1,1,0,0,0,0,0,13,12,0,8,8,1,1,2,1,8.9,7.4
"J. Gvardiol",NA,1,1,0,0,0,0,0,10,10,0,7,7,0,0,2,0,9.9,7.5
"A. Christensen",NA,1,1,0,0,0,0,0,7,7,0,5,5,0,0,2,1,9.1,6.8
"W. Fofana",NA,1,1,0,0,0,0,0,8,7,0,7,7,1,0,3,1,10,6.6
"R. James",NA,1,1,1,1,0,1,1,8,8,1,8,8,0,0,0,0,9.2,8.6
"Kepa",NA,1,1,0,0,0,0,0,5,5,0,2,2,0,0,1,0,5.3,7.1
"M. Gusto",NA,1,0,0,0,0,0,0,6,6,0,4,3,0,0,0,2,2.9,6.3
"Cucurella",NA,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,3.2,6.1
"C. Gallagher",NA,1,0,0,0,0,0,0,4,4,0,3,3,0,0,0,0,3,5.9
"R. Sterling",NA,1,0,0,0,1,0,0,5,4,1,5,5,0,0,0,1,3.1,6.2
"N. Jackson",NA,1,0,0,1,0,1,1,2,2,0,2,1,0,0,0,0,2.6,7.5
