Name,Pos,Played,Started,MOTM,Goals,Assists,Shots,Shot_Comp,Pass,Pass_Comp,Key_Pass,Dribble,Dribble_Comp,Tackle,Tackle_Comp,Possession_Won,Possession_Lost,Distance,Rating
João Félix,NA,1,1,1,3,0,3,3,9,8,1,6,5,0,0,0,1,9.4,8.3
Kai Havertz,NA,1,1,0,1,1,1,1,11,10,1,9,9,0,0,0,1,9.2,7.5
Enzo Fernández,NA,1,1,0,0,0,1,0,11,11,0,11,10,0,0,0,2,9.6,6.2
Ben Chilwell,NA,1,1,0,0,1,0,0,12,10,1,10,10,1,1,0,1,11.1,7.3
Reece James,NA,1,1,0,0,1,0,0,10,9,2,9,8,0,0,1,2,10.4,7.9
Nicolas Jackson,NA,1,0,0,0,0,1,0,1,0,0,2,2,1,0,0,2,2.3,5.8
Raheem Sterling,NA,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2.2,5.8
Mason Mount,NA,1,1,0,0,1,2,1,15,14,2,14,12,2,2,3,2,12.7,7.4
Romeo Lavia,NA,1,0,0,0,0,1,0,4,4,1,4,4,0,0,0,1,2.2,6.2
Declan Rice,NA,1,1,0,0,0,0,0,16,16,0,14,14,0,0,2,0,11.8,7.6
Marc Cucurella,NA,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2.2,6.3
Joško Gvardiol,NA,1,1,0,0,0,0,0,8,8,0,9,8,0,0,2,1,10,7
Andreas Christensen,NA,1,1,0,0,0,0,0,7,7,0,3,3,3,1,3,0,9.5,7.1
Wesley Fofana,NA,1,1,0,0,0,0,0,10,8,0,8,8,1,1,2,1,10.6,7.1
Malo Gusto,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,6.1
Kepa,NA,1,1,0,0,0,0,0,7,7,0,3,3,0,0,4,0,5.3,7.3
