"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"N. Jackson",NA,1,1,0,0,0,3,1,4,4,1,6,4,0,0,0,4,6.5,6.4
"J. Félix",NA,1,1,1,2,1,2,2,14,11,3,14,12,0,0,0,2,12.6,8.9
"K. Havertz",NA,1,1,0,1,0,3,3,11,11,1,11,10,0,0,0,1,12.1,7.5
"E. Fernández",NA,1,1,0,0,0,0,0,7,7,1,7,7,1,0,1,0,8.6,6.4
"D. Rice",NA,1,1,0,0,0,0,0,9,9,1,8,8,0,0,1,0,12.2,7
"B. Chilwell",NA,1,1,0,0,1,0,0,14,13,2,13,12,1,0,1,1,13.1,8
"B. Badiashile",NA,1,1,0,0,0,0,0,10,10,0,10,10,0,0,1,0,7.7,7.2
"J. Gvardiol",NA,1,1,0,0,0,0,0,10,8,0,12,10,0,0,4,3,10.7,7
"Kepa",NA,1,1,0,0,0,0,0,8,8,0,5,5,0,0,2,0,5.1,7.1
"R. James",NA,1,1,0,0,0,0,0,15,14,0,13,12,2,1,2,1,13,8.3
"W. Fofana",NA,1,1,0,0,0,0,0,9,9,0,8,8,0,0,2,0,11.1,7.3
"T. Chalobah",NA,1,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,3.7,5.8
"W. Zaïre-Emery",NA,1,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,4.4,6
"M. Mount",NA,1,0,0,0,1,2,1,2,2,1,3,3,1,0,0,1,5.8,5.9
