"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"M. Mount",NA,1,1,0,0,1,0,0,14,12,2,10,9,1,0,0,1,10.9,6.8
"J. Félix",NA,1,1,1,3,1,5,5,14,12,1,14,13,0,0,0,1,10.9,8.9
"K. Havertz",NA,1,1,0,2,1,3,3,6,6,3,8,5,0,0,1,2,10.9,7.8
"E. Fernández",NA,1,1,0,0,0,0,0,6,4,0,7,6,0,0,0,4,10.7,6
"D. Rice",NA,1,1,0,0,1,0,0,12,11,1,8,8,2,1,1,0,12,7.7
"B. Chilwell",NA,1,1,0,0,0,0,0,13,12,0,11,10,1,0,2,2,12,7.6
"B. Badiashile",NA,1,1,0,0,0,0,0,8,7,0,7,7,0,0,3,1,9.6,5.8
"J. Gvardiol",NA,1,1,0,0,0,0,0,7,7,0,4,4,0,0,1,0,10.3,8.1
"W. Fofana",NA,1,1,0,0,0,1,0,7,5,0,3,3,0,0,0,1,10,6.5
"R. James",NA,1,1,0,0,1,1,1,11,10,1,7,7,0,0,3,0,12,8.3
"Kepa",NA,1,1,0,0,0,0,0,4,4,0,1,1,0,0,2,0,4.4,6.6
